"author","year","journal","species","other_var_name","other_var_num_value","other_var_num_units","other_var_factor_value","date","season","plot","d18O_permil_plant","d2H_permil_plant","xylem","plant_tissue","OBS1","OBS2","OBS3"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-4.35443,-40.6452,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-3.8481,-40,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-3.44304,-39.3548,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-3.5443,-37.4194,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-3.44304,-35.4839,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-3.13924,-30.9677,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-2.73418,-27.0968,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-1.92405,-26.4516,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-1.41772,-25.8065,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-1.11392,-24.5161,"no","rizhome","NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999,"not applicable","not applicable",201107,"dry","NA",-1.11392,-28.3871,"no","rizhome","NA","NA","NA"
