Review_label;Autor;Year;Geographic_range;Km2;Ecosystem type*;Ecosystem nature;Review_type;N_studies;Time_range;Variables;Variable_type;Factor_Label;Factor
12;Kristen Fernandes;2018;Australia;7741220;Several;Terrestrial;Review;46;5;Lack of fauna monitoring ;Barrier;15; Success assessment and evaluation
12;Kristen Fernandes;2018;Australia;7741220;Several;Terrestrial;Review;46;5;Difficulties monitoring invertebrates;Barrier;15; Success assessment and evaluation
12;Kristen Fernandes;2018;Australia;7741220;Several;Terrestrial;Review;46;5;DNA metabarcoding as a monitoring technique;Booster;15; Success assessment and evaluation
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Artificial perches;Booster;14; Restoration techniques
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Active allowance of propagules entrance;Booster;14; Restoration techniques
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Predominance of anemochorous seeds;Barrier;24; Intrinsic biotic factors
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Lack of propagule source;Barrier;24; Intrinsic biotic factors
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Lack of monitoring;Barrier;15; Success assessment and evaluation
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Low economical and manpower costs of using perches;Booster;3; Economic costs of restoration
61;Brenda Yamile Guidetti ;2016;Amazon;7050000;Forests;Terrestrial;Meta-Analysis;24;5;Excessive reliance on reforestation;Barrier;14; Restoration techniques
105;Felipe P.L. Melo;2013;Brazil;8514877;Forests;Terrestrial;Review;25;5;Technological development;Booster;17; Instruments, technology and resources
105;Felipe P.L. Melo;2013;Brazil;8514877;Forests;Terrestrial;Review;25;5;Local knowledge;Booster;5; Societal integration
105;Felipe P.L. Melo;2013;Brazil;8514877;Forests;Terrestrial;Review;25;5;Clear legal environment;Booster;4; Policies and governance
105;Felipe P.L. Melo;2013;Brazil;8514877;Forests;Terrestrial;Review;25;5;Effective economic instruments and incentives being operational;Booster;4; Policies and governance
105;Felipe P.L. Melo;2013;Brazil;8514877;Forests;Terrestrial;Review;25;5;Stakeholders integration;Booster;5; Societal integration
105;Felipe P.L. Melo;2013;Brazil;8514877;Forests;Terrestrial;Review;25;5;Private property of lands;Barrier;2; Land-tenure rights
125;James M. Bullock;2011; Madagascar, China, Florida (USA), South Africa, Latin America;33795404;Several;All kinds;Review;13;5;Long-term unsustainability of PES (Payment for Ecosystem Services);Barrier;18; Temporal scale of the restoration projects
125;James M. Bullock;2011; Madagascar, China, USA, South Africa, Latin America;33795404;Several;All kinds;Review;13;5;Inequity of PES;Barrier;7; Payment for ecosystem services
29;H.M. Flávio;2017;Europe;10180000;Rivers;Aquatic;Review;245;10;Phosphorus legacy;Barrier;20;Historical land-use
29;H.M. Flávio;2017;Europe;10180000;Rivers;Aquatic;Review;245;10;Difuse sediment pollution sources;Barrier;25; Spatial scale
29;H.M. Flávio;2017;Europe;10180000;Rivers;Aquatic;Review;245;10;Water abstraction;Barrier;21; Ongoing degradation
30;Talía Zamboni ;2017;Argentina;2780400;Forests;Terrestrial;Review;39;10;Proactive communication with stakeholders;Booster;5; Societal integration
30;Talía Zamboni ;2017;Argentina;2780400;Forests;Terrestrial;Review;39;10;Good public image;Booster;5; Societal integration
30;Talía Zamboni ;2017;Argentina;2780400;Forests;Terrestrial;Review;39;10;Positive cycles of success-reputation-economical funding;Booster;6; Funding
30;Talía Zamboni ;2017;Argentina;2780400;Forests;Terrestrial;Review;39;10;Intensive monitoring of every realeased animal;Booster;15; Success assessment and evaluation
30;Talía Zamboni ;2017;Argentina;2780400;Forests;Terrestrial;Review;39;10;Active methods to ensure animals survival during first months;Booster;14; Restoration techniques
42;Britta L. Timpane-Padgham ;2017;Global;54870139;Several;All kinds;Systematic review;170;10;Connectivity;Booster;11; Knowledge on genetics
42;Britta L. Timpane-Padgham ;2017;Global;54870139;Several;All kinds;Systematic review;170;10;Genetic diversity;Booster;11; Knowledge on genetics
42;Britta L. Timpane-Padgham ;2017;Global;54870139;Several;All kinds;Systematic review;170;10;Presence of refugia or suport areas;Booster;23; Intrinsic abiotic factors
42;Britta L. Timpane-Padgham ;2017;Global;54870139;Several;All kinds;Systematic review;170;10;Incorporation of natural environmental fluctuations/disturbance;Booster;19; Context-specific factor consideration
70;Andrew G. Baker;2016;Byron Shire, Australia;809444;Forests;Terrestrial;Review;60;10;Lack of recognision of fire exclusion threats;Barrier;9; Integration of existing scientific knowledge 
