,Amanita.rubescens,Amanita.sp..1,Byssocorticium.sp..2,Cenococcum.geophilum,Clavulina.cristata,Clavulina.sp..1,Cortinarius.anomalus,Cortinarius.casimiri,Cortinarius.flexipes,Cortinarius.fulvoconicus,Cortinarius.infractus,Cortinarius.nolaneiformis,Cortinarius.rubicundulus,Cortinarius.rubricosus,Cortinarius.scotoides,Cortinarius.sertipes,Craterellus.cornucopioides,Craterellus.sp..1,Cyanoboletus.pulverulentus,Elaphomyces.leucosporus,Elaphomyces.muricatus,Entoloma.bryorum,Entoloma.griseorugulosum,Entoloma.sp..1,Genea.arenaria,Genea.hispidula,Hebeloma.vaccinum,Helvella.elastica,Helvella.sp..1,Humaria.hemisphaerica,Hydnobolites.sp..1,Hydnotrya.tulasnei,Hydnum.ovoideisporum,Hydnum.repandum,Hydnum.rufescens,Hymenogaster.hessei,Hymenogaster.pruinatus,Inocybe.assimilata,Inocybe.cookei,Inocybe.glabripes,Inocybe.hirtella,Inocybe.maculata,Inocybe.minima,Inocybe.napipes,Inocybe.petiginosa,Inocybe.sp..1,Inocybe.sp..2,Inocybe.sp..3,Inocybe.sp..4,Inocybe.xanthomelas,Laccaria.amethystina,Laccaria.laccata,Laccaria.pumila,Lactarius.blennius,Lactarius.fuliginosus,Lactarius.pallidus,Lactarius.subdulcis,Lactarius.tabidus,Lactarius.volemus,Leccinum.carpini,Melanogaster.macrosporus,Melanogaster.sp.1,Meliniomyces.bicolor,Octaviania.asterosperma,Pachyphlodes.conglomerata,Pachyphlodes.melanoxantha,Pachyphlodes.nemoralis,Peziza.michelii,Peziza.sp..1,Peziza.sp..2,Peziza.sp..3,Peziza.sp..4,Peziza.succosa,Phylloporus.pelletieri,Piloderma.lanatum,Plicariella.scabrosa,Pseudotomentella.sp..1,Russula.acrifolia,Russula.amoenicolor,Russula.chloroides,Russula.delica,Russula.faustiana,Russula.fellea,Russula.foetens,Russula.ionochlora,Russula.mairei,Russula.melzeri,Russula.nigricans,Russula.ochroleuca,Russula.pectinatoides,Russula.praetervisa,Russula.puellula,Russula.risigallina,Russula.rosea,Russula.solaris,Russula.sp..1,Russula.sp..2,Russula.veternosa,Scleroderma.citrinum,Sebacina.flagelliformis,Sebacina.helvelloides,Sebacina.incrustans,Sebacina.sp..1,Sebacina.sp..2,Sistotrema.sp..1,Thelephora.sp..1,Tomentella.atroarenicolor,Tomentella.badia,Tomentella.bryophila,Tomentella.ellisii,Tomentella.galzinii,Tomentella.lapida,Tomentella.lateritia,Tomentella.lilacinogrisea,Tomentella.punicea,Tomentella.sp..1,Tomentella.sp..11,Tomentella.sp..2,Tomentella.sp..3,Tomentella.sp..4,Tomentella.sp..5,Tomentella.sp..8,Tomentella.stuposa,Tomentella.sublilacina,Tomentella.subtestacea,Tomentella.terrestris,Tomentella.viridula,Tricholoma.lascivum,Tricholoma.pardinum,Tricholoma.sciodes,Tricholoma.sulphureum,Tricholoma.ustale,Tuber.borchii,Tuber.puberulum,Tuber.scruposum.,Xerocomellus.porosporus,Xerocomellus.pruinatus,Thelephora.sp..2,Thelephora.sp..3,Tomentella.sp..7,Tomentella.sp..9,Tomentella.sp..6,Tomentella.sp..10,Sebacina.sp..3,Sebacina.sp..4,Tomentella.coerulea,Tomentella.ferruginia,Tomentella.sp..12
S03I,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S04I,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,36,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S09I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,13,12,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
S10I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,42,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16I,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
S17I,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
S18I,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,0,0,7,0,47,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
S22I,0,0,0,54,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A03I,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
