"author","year","journal","species","other_var_name","other_var_value","other_var_units","label","label_class","label_depth","label_pool","date","season","plot","d18O_permil_source","d2H_permil_source","OBS1","OBS2","OBS3"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-2.81942,-31.4286,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-2.37221,-37.1429,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-1.44836,-38.4127,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-1.5551,-35.2381,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-1.77962,-32.6984,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-0.27789,-34.6032,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",-0.04969,-35.873,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",0.202438,-28.8889,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",0.093858,-26.3492,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",0.329423,-25.0794,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",0.774787,-31.4286,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",1.014033,-28.8889,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",1.36738,-26.9841,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",1.597424,-27.619,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",3.09547,-30.7937,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201107,"dry","NA",2.642742,-26.9841,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Groundwater","groundwater","unknown","not applicable",201107,"dry","NA",-3.86473,-32.0635,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Groundwater","groundwater","unknown","not applicable",201107,"dry","NA",-4.196,-26.3492,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Groundwater","groundwater","unknown","not applicable",201107,"dry","NA",-3.50403,-27.619,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Riverwater","stream","not applicable","not applicable",201107,"dry","NA",-3.62549,-29.5238,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Riverwater","stream","not applicable","not applicable",201107,"dry","NA",-3.38992,-28.254,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201106,"wet","NA",-2.19168,-34.8387,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201106,"wet","NA",-0.92006,-36.129,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201106,"wet","NA",-0.79476,-32.9032,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201106,"wet","NA",-0.79289,-32.2581,"NA","NA","NA"
"Moore",2016,"Ecohydrology","Arundo donax","not applicable",9999999,"not applicable","Soil_10cm","soil","shallow","bulk",201106,"wet","NA",-0.4245,-25.1613,"NA","NA","NA"
